FID;OMSCHR;VHAG;NAAM;TYPE;dataset;Sampler;GEBIED;SystemType;WVLC;vrijwillID;IsGereserv;x;y;provincie;postcode;gemeente;SugbyINBO;locID;IsVoorgest
0;Kaulille, Broekerheide, oude hostieweg, dan zandpad inrijden, opw brug;9508,000000000000000;Warmbeek;Cat2;VMM_Mtp; ; ;Lotisch; ; ; ;228750,000000000000000;210246,000000000000000;Limburg;3950;Bocholt;YES;I_3950_1;NO
1;Goolderheideweg, opw weg;473,000000000000000;Balkenloop;Cat2;VMM_Mtp; ; ;Lotisch; ; ; ;231653,000000000000000;207915,000000000000000;Limburg;3950;Bocholt;YES;I_3950_2;NO
2;onverhard verlengde Goosweg, opw weg;332,000000000000000;Rieterheideloop;Cat2;VMM_Mtp; ; ;Lotisch; ; ; ;232052,000000000000000;209378,000000000000000;Limburg;3950;Bocholt;YES;I_3950_3;NO
3;zijbeek Hamonterbeek, Hamont, Lozerweg 100, via hoofdingang Lo kasteel De L'Escaille, opw onverharde weg;10201,000000000000000;Lobeek;Cat2;VMM_Mtp; ; ;Lotisch; ; ; ;232047,000000000000000;213594,000000000000000;Limburg;3930;Hamont-Achel;YES;I_3930_1;NO
4;Lossing-Emissaire, Molenbeersel, Vlasbrei, Uffelseweg, grenspaal 145, opw brug;9967,000000000000000;Lossing;Cat1;VMM_Mtp; ; ;Lotisch; ; ; ;248665,000000000000000;207795,000000000000000;Limburg;3640;Kinrooi;YES;I_3640_11;NO
5;Stramproyerweg, aan grenspaal 160, opw onderkokering aan Abeek (stuw);9505,000000000000000;Abeek;Cat1;VMM_Mtp; ; ;Lotisch; ; ; ;240132,000000000000000;209087,000000000000000;Limburg;3950;Bocholt;YES;I_3950_4;NO
6;Neeritter, Huikenhof (NL), opw brug;9522,000000000000000;Itterbeek;Cat1;VMM_Mtp; ; ;Lotisch; ; ; ;249580,000000000000000;206182,000000000000000;Limburg;3640;Kinrooi;YES;I_3640_12;NO
7;Ophoven, aan kruising met Dalerstr, opw brug;9505,000000000000000;Abeek;Cat1;VMM_Mtp; ; ;Lotisch; ; ; ;251024,000000000000000;202724,000000000000000;Limburg;3640;Kinrooi;YES;I_3640_1;NO
8;Kinrooi, Breeërstwg, opw brug;9505,000000000000000;Abeek;Cat1;VMM_Mtp; ; ;Lotisch; ; ; ;246669,000000000000000;204833,000000000000000;Limburg;3640;Kinrooi;YES;I_3640_2;NO
9;Bocholt, Kreylerstraat, onverharde weg naast huisnr. 29, opw brug;9505,000000000000000;Abeek;Cat1;VMM_Mtp; ; ;Lotisch; ; ; ;236317,999600000010105;207657,999799999990501;Limburg;3950;Bocholt;YES;I_3950_5;NO
10;Ellikom, Neermolenstraat ten einde, opw brug (bio: + afw brug en verval);9505,000000000000000;Abeek;Cat2;VMM_Mtp; ; ;Lotisch; ; ; ;230674,000000000000000;203278,000000000000000;Limburg;3670;Oudsbergen;YES;I_3670_1;NO
11;Meeuwen, Peerderbaan, aan grensbord Meeuwen, OPW brug+LZP;9663,000000000000000;Gielisbeek;Cat2;VMM_Mtp; ; ;Lotisch; ; ; ;228833,000000000000000;201217,000000000000000;Limburg;3990;Peer;YES;I_3990_1;NO
