Soort,Doelsoort,Status,Gebied (jaartal vroegste waarneming)
Faxonius limosus,kleine modderkruiper,< 1000m, Achterste Neet (2018);  Albertkanaal (2023);  Autbroekloop (2017);  Beek van de groote sluis (2012);  Biestbeek (2019);  Bosbeek (2010);  Boven Rijpenbroekloop (2017);  Breyloop (2021);  Centrale Loop (2024);  Dalemansloop (2015);  Driesesloot (2018);  Goorneetje (2011);  Gravenweidebeek (2012);  Groot Schijn (2023);  Hanskeselsloop (2018);  Hermeandering Grote Nete Belsbroek (2024);  Kalkenvaart (2018);  Kanaal van Bocholt naar Herentals (2018);  Katersbergenloop (2025);  Kempenbeek (2019);  Klein Neetje (2024);  Kwachtloop (2023);  Leenwegbeekje (2019);  Leigracht (2012);  Loeijens Neetje (2024);  Maasfortbeek (2016);  Maeskensloop (2011);  Molse Nete (2023);  Mosselgorenloop (2022);  Nieuwe Sluisbeek (2012);  Nonnen Neetje (2020);  Noordzuid Verbinding (2023);  Oeverbeek (2018);  Oude Meir (2017);  Priorijloop (2016);  Rietveldbeek (2024);  Roeijkensloop (2019);  Scherpenbergenloop (2015);  Sompelbeek (2018);  Tak van de beek van de kleine sluis (2012);  Tappelbeek (2016);  Vlust (2023);  Volaardebeek (2012);  Voorste Neet (2018);  Wlp. vh. Kleyt (2019);  Zanderbeek (2017);  Zeeploop (2024);  Zeggeloop (2024);  Zuytbeek (2024);  Zwarte Beek (2022)
Faxonius limosus,poelkikker,In gebied,Bels lijntje (2022); Bergerven (2014); Bolderberg (2017); Buitengoor (2020); Dauteweyers (2013); De Maten (2015); den Diel (2011); Goorken (2013); Hageven (2022); Het Blak (2010); Kasterlee (2012); Klein schietveld (2015); Klokkeven (2019); Koemook-Wurft (2020); Liereman (2013); Maasvallei (2019); Mastensbos (2021); Mosselgroen (2024); Overpelt-werkplaatsen (2025); Ronde Put (2014); Stamprooierbroek (2010); Teutelberg (2022); Tielenheide (2019); Tielrode (2025); Wijmeers (2018); Wijvenheide en Platweyers (2016)
Faxonius limosus,poelkikker,< 100m,Meerdonk (2018)
Faxonius limosus,poelkikker,< 1000m,Hooiput (2011); Kijkverdriet (2024); Langvenheide (2024); Snepkensvijver-Heyberg (2022); Tikkebroeken (2016)
Faxonius limosus,rivierdonderpad,In gebied, Berwijn (2020);  De Aa (2012);  Desselse Neet (2020);  Grote Nete (2015);  Kikbeek (2019);  Kleine Nete (2012);  Laarse Beek (2022);  Maas (2010);  Mark (2020);  Meirenloop (2024);  Molenbeek (2025);  Molenbeek Zijarm (2016);  Molenheideloop (2020);  Netekanaal (2024);  Zwalmbeek (2017)
Faxonius limosus,rivierdonderpad,< 100m, Broekstraatloop (2015);  Klein Beek (2016);  Oude Beek (2014);  Zanderbeek (2017)
Faxonius limosus,rivierdonderpad,< 1000m, Achterste Neet (2018);  Albertkanaal (2023);  Bosbeek (2010);  Colateur (2023);  Dalemansloop (2015);  Dijle (2025);  Goorneetje (2011);  Gravenweidebeek (2012);  Groot Schijn (2023);  Hanskeselsloop (2018);  Hermeandering Grote Nete Belsbroek (2024);  Hollebeek (2024);  IJse (2025);  Kanaal van Bocholt naar Herentals (2018);  Kapittelbeek (2025);  Kleine Neet - Slagmolenarm (2012);  Kruisbeek (2024);  Leigracht (2012);  Maasfortbeek (2016);  Moerbeek (2023);  Molse Nete (2023);  Oude Mark (2020);  Peerdenbemdgracht (2025);  Rilroheidebeek (2015);  Roosmeersbeek (2022);  Schillebeeklokte (2020);  Tappelbeek (2016);  Vaanbuikbeek (2022);  Vlust (2023);  Voorste Neet (2018);  Wijze Beek (2020);  Zevenborrebeek (2015);  Zuytbeek (2024);  Zwanebeek (2022);  Zwarte Neet (2020)
Faxonius limosus,rugstreeppad,In gebied,Bergerven (2014); De Liereman (2013); De Maat (2011); De Maten (2015); den Diel (2011); Ekstergoor - Kievitsheide (2010); Hageven (2022); Rupelstreek – Noordelijk eiland (2017); Teutelberg - Eisden Mijn - Lange terril (2022)
Faxonius limosus,rugstreeppad,< 1000m,Rupelstreek – Terhagen (2023); Turnhouts Vennengebied (2022)
Faxonius limosus,vroedmeesterpad,< 1000m,Hallerbos (2015)
