input,matched,status,usageKey,note
Faxonius limosus,"Faxonius limosus (Rafinesque, 1817)",ACCEPTED,8909595,exact
Procambarus clarkii,"Procambarus clarkii (Girard, 1852)",ACCEPTED,2227300,exact
Procambarus virginalis,"Procambarus virginalis Lyko, 2017",ACCEPTED,9442269,exact
Faxonius virilis,"Faxonius virilis (Hagen, 1870)",ACCEPTED,8971201,exact
Procambarus acutus,"Procambarus acutus (Girard, 1852)",ACCEPTED,2227289,exact
Astacus astacus,"Astacus astacus (Linnaeus, 1758)",ACCEPTED,2226998,exact
Pontastacus leptodactylus,"Pontastacus leptodactylus (Eschscholtz, 1823)",ACCEPTED,8946295,exact
