"NAAM","OMSCHR","CATC","startDate","provincie","gemeente","postcode","VHAG","Latitude","Longitude"
NA,"Nederbrakel, Heyveld, opw",2,"15-07-2024","Oost-Vlaanderen","Brakel",9660,5224,50.8116182,3.7803241
"Verrebeek","Nederbrakel,Roensveldstraat,veldweg,afwaarts",2,"15-07-2024","Oost-Vlaanderen","Brakel",9660,5025,50.791781,3.7598643
"Steenborrebeek","Onkerzele,Bosstraat,opw weg",2,"TBD","Oost-Vlaanderen","Geraardsbergen",9500,6338,50.7817292906111,3.92371757436728
