"NAAM","OMSCHR","CATC","startDate","provincie","gemeente","postcode","VHAG","Latitude","Longitude"
"Kleine Gete","aan 430000, opw oude stenen brugje",2,"11-07-2024","Vlaams-Brabant","Zoutleeuw",3440,7161,50.8466138,5.1113885
"Voer","Leefdaal, Dorpstr, 5m opw brug nr huizen en wandelweg langs waterwinningsgebied, 200m opw mpl 479000",2,"TBD","Vlaams-Brabant","Bertem",3061,6919,50.8565096,4.6076213
