"NAAM","OMSCHR","CATC","startDate","provincie","gemeente","postcode","VHAG","Latitude","Longitude"
"Abeek","begin traject 100m opw molen",2,"15-07-2024","Limburg","Oudsbergen",3670,9505,51.1244491,5.5150079
"Stiemerbeek"," ",2,"19-07-2024","Limburg","Genk",3600,0,50.9709203,5.4893409
"Stiemerbeek"," ",2,"19-07-2024","Limburg","Genk",3600,0,50.9651239,5.4818414
"Warmbeek","Kaulille; verlengde Molenstraat; einde traject 5m afw brug",2,"31-08-2024","Limburg","Bocholt",3950,9508,51.1835538,5.5012483
"Ziepbeek","Boorsem, Langeweidestraat, opw brug - meetplaats 381 (provincie Limburg)",2,"TBD","Limburg","Maasmechelen",3631,9766,50.9343809,5.706293
"Grote Nete","Lommel; Kerkhoven; Kerkhovenstwg; 150m opw mtp 262400",2,"TBD","Limburg","Lommel",3920,8501,51.1582457,5.2628727
