"NAAM","OMSCHR","CATC","startDate","provincie","gemeente","postcode","VHAG","Latitude","Longitude"
"Laakbeek","St Corneliusstraat, opw brug",2,"21-07-2024","Antwerpen","Beerse",2340,8572,51.3128148,4.8376736
"Haagbeek","bocht Haagstraat, net voorbij n°13, naast verharde weg",2,"TBD","Antwerpen","Lier",2500,8863,51.091789,4.5767248
"De Aa","Oud-Turnhout; Eigen; opw mtp 292000",2,"TBD","Antwerpen","Oud-Turnhout",2360,8504,51.3193559,4.9769205
"Bergebeek","Heist o/d Berg; Heistseweg; einde zandweg naast huisnr 133",2,"TBD","Antwerpen","Heist-op-den-Berg",2221,8620,51.0701906,4.7628236
"Spillebeek","Essen; Hollandsedreef; begin vanaf brug mtp 59000 100m SO",2,"TBD","Antwerpen","Essen",2910,10042,51.462614,4.4251043
"Kleine Aa","Essen; Essendonkbos; 200m afw stuw",2,"TBD","Antwerpen","Essen",2910,68226,51.4753536,4.4815792
