"NAAM","OMSCHR","CATC","startDate","provincie","gemeente","postcode","VHAG","Latitude","Longitude"
"Omleidingsgracht","ziet er meer bereikbaar uit dan ",NA,"10-08-2024","Antwerpen","Antwerpen",2030,NA,51.3055899,4.3616486
"Watering De Kleine Gete",NA,NA,"11-07-2024","Vlaams-Brabant","Zoutleeuw",3440,NA,50.8389004,5.1213607
NA,"Brakel",NA,"15-07-2024","Oost-Vlaanderen","Brakel",9660,NA,50.8033955,3.7572155
NA,NA,NA,"15-07-2024","Vlaams-Brabant","Dilbeek",1700,NA,50.8816613,4.2143418
"Oude Schelde Doornhammeke","Oude Schelde Doornhammeke",NA,"15-08-2024","Oost-Vlaanderen","De Pinte",9840,NA,50.9669306,3.6844278
NA,"Brasschaat; Sion Kloosterlaan ten einde en rechtsaf; 100m afw ingang fort beginnens",NA,"15-08-2024","Antwerpen","Brasschaat",2930,NA,51.3289853,4.4939617
"Antitankgracht",NA,NA,"15-08-2024","Antwerpen","Brasschaat",2930,NA,51.3109534,4.525374
NA,NA,NA,"15-08-2024","Antwerpen","Brasschaat",2930,NA,51.3142677,4.5322723
"Bomput",NA,NA,"15-08-2024","Oost-Vlaanderen","De Pinte",9840,NA,50.969326,3.6943734
NA,NA,NA,"18-08-2024","West-Vlaanderen","Middelkerke",8430,NA,51.1864522,2.8355339
NA," ",NA,"19-07-2024","Limburg","Genk",3600,NA,50.9773846,5.4927852
NA," ",NA,"19-07-2024","Limburg","Genk",3600,NA,50.9786478,5.4934182
NA,NA,NA,"21-07-2024","Antwerpen","Beerse",2340,NA,51.3348974,4.8674389
"Ter Erpenbeek","Ter Eppenbeek",NA,"24-06-2024","Oost-Vlaanderen","Haaltert",9450,NA,50.88894,3.95116
NA,"Molenbeek",NA,"24-06-2024","Oost-Vlaanderen","Haaltert",9450,NA,50.89441,4.0229
"Molenbeek","Molenbeek",NA,"24-06-2024","Oost-Vlaanderen","Haaltert",9450,NA,50.89703,4.03072
"Ter Erpenbeek","Den Dotter",NA,"24-07-2024","Oost-Vlaanderen","Erpe-Mere",9420,NA,50.90148,3.96273
NA,NA,NA,"26-08-2024","Oost-Vlaanderen","Gent",9050,NA,51.0351294,3.7511217
NA,NA,NA,"26-08-2024","Oost-Vlaanderen","Gent",9050,NA,51.0375743,3.7602421
NA,"recreation area, Provincial dom. Kessel-Lo",NA,"29-07-2024","Vlaams-Brabant","Leuven",3010,NA,50.8943306,4.7227575
NA,"recreation area, Provincial dom. Kessel-Lo",NA,"29-07-2024","Vlaams-Brabant","Leuven",3010,NA,50.8921988,4.7205903
NA,"recreation area, Provincial dom. Kessel-Lo",NA,"29-07-2024","Vlaams-Brabant","Leuven",3010,NA,50.8926286,4.7253163
NA,NA,NA,"29-07-2024","West-Vlaanderen","Lichtervelde",8810,NA,51.0412999,3.1338196
NA,"Provinciedomein Kessel Lo",NA,"29-07-2024","Vlaams-Brabant","Leuven",3010,NA,50.8931725,4.7201455
NA,"Provinciedomein Kessel Lo",NA,"29-07-2024","Vlaams-Brabant","Leuven",3010,NA,50.8927698,4.7214705
"Provinciedomein Kessel Lo",NA,NA,"29-07-2024","Vlaams-Brabant","Leuven",3010,NA,50.8935525,4.7281685
NA,"Poel dierenweide",NA,"29-07-2024","Vlaams-Brabant","Leuven",3010,NA,50.8925625,4.7234119
NA,"Poel reservaat Lovenarenbroek",NA,"29-07-2024","Vlaams-Brabant","Leuven",3010,NA,50.8935322,4.7215236
NA,"Bronbeek Provinciedomein",NA,"29-07-2024","Vlaams-Brabant","Leuven",3010,NA,50.8938153,4.7201073
NA,"Tijdelijke plas parking Eénmeilaan",NA,"29-07-2024","Vlaams-Brabant","Leuven",3010,NA,50.8964641,4.7177397
"Oude Dommel",NA,NA,"31-08-2024","Limburg","Pelt",3910,NA,51.2124364,5.4394248
"Spaarbekken Koolhofvaart","Koolhofput in Nieuwpoort",NA,"TBD","West-Vlaanderen","Nieuwpoort",8620,NA,51.1204105,2.7587986
"Gavermeer"," ",1,"TBD","West-Vlaanderen","Harelbeke",8530,NA,50.8400718,3.3144738
"Gavermeer"," ",1,"TBD","West-Vlaanderen","Deerlijk",8540,0,50.8457795,3.326138
NA,"Moorseelsesteenweg, Sterrebosvijver",NA,"TBD","West-Vlaanderen","Roeselare",8800,NA,50.9270384,3.137029
NA,"Breevendreef, t.h.v. de cafetaria v/h zwembad",NA,"TBD","Antwerpen","Bornem",2880,NA,51.0913189,4.2391514
NA,"Zaffelare,Giesmeersbos,Bosdam,veldweg",NA,"TBD","Oost-Vlaanderen","Lochristi",9080,NA,51.1429647,3.8800557
"Oostpolderkreek","Oostpolderkreek",NA,"TBD","Oost-Vlaanderen","Sint-Laureins",9982,NA,51.2611327,3.5820292
"Boerenkreek","Boerekreek",NA,"TBD","Oost-Vlaanderen","Sint-Laureins",9982,NA,51.2657601,3.577096
"Mazurekreek","Mazurekreek",NA,"TBD","Oost-Vlaanderen","Sint-Laureins",9982,NA,51.2596778,3.5634546
"Kragenwiel"," ",NA,"TBD","Antwerpen","Bornem",2880,NA,51.1092937,4.2478199
"E10-plas"," ",NA,"TBD","Antwerpen","Schoten",2900,NA,51.2978211,4.5417586
NA," ",NA,"TBD","Antwerpen","Lier",2500,NA,51.0833185,4.5655756
NA," ",NA,"TBD","Antwerpen","Sint-Katelijne-Waver",2860,NA,51.0598583,4.5109872
"Bergelenput","recreation area (provincial dom. Bergelen Put)",NA,"TBD","West-Vlaanderen","Wevelgem",8560,NA,50.8388989,3.1838946
NA,"Turnhout",NA,"TBD","Antwerpen","Turnhout",2300,NA,51.3101635,4.9474125
NA,"ANB",NA,"TBD","Limburg","Lommel",3920,NA,51.2475131,5.2883434
"Heuvelse Heide"," ",NA,"TBD","Limburg","Lommel",3920,NA,51.2468924,5.3641626
"Stationput","recreation area",NA,"TBD","West-Vlaanderen","Kortemark",8610,NA,51.0265682,3.0521241
"Gaverplas","recreation area, Provincial dom. De Gavers Geraardsbergen",NA,"TBD","Oost-Vlaanderen","Geraardsbergen",9500,NA,50.7922846903992,3.91394379933084
NA,"Kortenberg",9,"TBD","Vlaams-Brabant","Kortenberg",3070,0,50.8846604,4.5507054
NA,"recreation area, Provincial dom. Puyenbroeck",NA,"TBD","Oost-Vlaanderen","Wachtebeke",9185,NA,51.1495342,3.8824034
"Roeselarekreek","Roeselarekreek",NA,"TBD","Oost-Vlaanderen","Sint-Laureins",9982,NA,51.2691229,3.5608716
NA,NA,NA,"TBD","Antwerpen","Schoten",2900,NA,51.2927059,4.5470864
"Scheppelijke Nete",NA,NA,"TBD","Antwerpen","Mol",2400,NA,51.2040817,5.1834068
NA,NA,NA,"TBD","West-Vlaanderen","Ieper",8902,NA,50.812365,2.9308407
"Spanjaardbeek",NA,NA,"TBD","West-Vlaanderen","Kortemark",8610,NA,51.0286484,3.0580516
"Kasteelbeek",NA,NA,"TBD","West-Vlaanderen","Kortemark",8610,NA,51.0314949,3.0493828
"Visput 3",NA,NA,"TBD","Oost-Vlaanderen","Melle",9090,NA,50.993275,3.8042573
NA,NA,NA,"TBD","Vlaams-Brabant","Kortenberg",3078,NA,50.8845868,4.5636599
NA,NA,NA,"TBD","Oost-Vlaanderen","Laarne",9270,NA,51.0360752,3.8481604
NA,NA,NA,"TBD","Oost-Vlaanderen","Laarne",9270,NA,51.0266012,3.837826
NA,NA,NA,"TBD","Antwerpen","Heist-op-den-Berg",2222,NA,51.1215562,4.7002459
NA,"Stiltehuis KUL",NA,"TBD","Vlaams-Brabant","Leuven",3001,NA,50.8589393,4.6661371
"Zelgaas",NA,NA,"TBD","Antwerpen","Geel",2440,NA,51.1724522,5.0423275
"Kanaal Dessel-Schoten",NA,NA,"TBD","Antwerpen","Turnhout",2300,NA,51.3274215,4.9160958
"Kanaal",NA,NA,"TBD","Limburg","Maasmechelen",3631,NA,50.9342336,5.7123655
"Bruulbeek",NA,NA,"TBD","Vlaams-Brabant","Bierbeek",3360,NA,50.8488965,4.7973268
"Driesesloot",NA,NA,"TBD","Oost-Vlaanderen","Wichelen",9260,NA,51.023506,3.9293331
