"NAAM","OMSCHR","CATC","startDate","provincie","gemeente","postcode","VHAG","Latitude","Longitude"
"Slijpbeek","Sint-Denijsstraat, Kreupel, afw",2,"18-07-2024","West-Vlaanderen","Zwevegem",8550,18815,50.7950431,3.340028
"Jobeek","Koolskamp, Jostraat, Noordhoek",2,"22-07-2024","West-Vlaanderen","Wingene",8750,318,51.0213582,3.2125623
