"consecutive","dat.source","year","date","CPUE_pontastacus leptodactylus","CPUE_pacifastacus leniusculus","pontastacus leptodactylus","pacifastacus leniusculus","CPUE_faxonius limosus","CPUE_procambarus clarkii","CPUE_procambarus acutus","CPUE_procambarus virginalis","CPUE_faxonius virilis","faxonius limosus","procambarus clarkii","procambarus acutus","procambarus virginalis","faxonius virilis","nearest_river_index","VHAG","CATC","nearest_waterbody_index","WVLC","ID","distances","BEKNR","BEKNAAM","longitude","latitude","geometry"
FALSE,"craywatch_data",2025,2025-08-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20608,NA,NA,69832,"VBRVIL0060",27,0,8,"Dijle- en Zennebekken",4.45500299589592,50.9530568025045,c(4.45500299589592, 50.9530568025045)
TRUE,"craywatch_data",2025,2025-08-05,NA,NA,NA,NA,NA,0.333333333333333,NA,NA,NA,NA,1,NA,NA,NA,20608,NA,NA,69832,"VBRVIL0060",28,0,8,"Dijle- en Zennebekken",4.45500299589592,50.9530568025045,c(4.45500299589592, 50.9530568025045)
TRUE,"craywatch_data",2025,2025-05-04,NA,NA,NA,NA,NA,0.666666666666667,NA,NA,NA,NA,1,NA,NA,NA,5887,6560,1,68648,NA,29,3.16593656719203,8,"Dijle- en Zennebekken",4.49050379589065,50.9863328024989,c(4.49050379589065, 50.9863328024989)
TRUE,"craywatch_data",2025,2025-06-01,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,1,NA,NA,NA,5887,6560,1,68648,NA,30,3.16593656719203,8,"Dijle- en Zennebekken",4.49050379589065,50.9863328024989,c(4.49050379589065, 50.9863328024989)
TRUE,"craywatch_data",2025,2025-03-03,0,0,0,0,0.125,0,0,0,0,1,0,0,0,0,13892,NA,NA,64328,"VBRZEM0090",31,0,8,"Dijle- en Zennebekken",4.5054139958871,50.9876254025001,c(4.5054139958871, 50.9876254025001)
TRUE,"craywatch_data",2025,2025-03-03,0,0,0,0,0,1.58333333333333,0,0,0,0,1,0,0,0,13892,NA,NA,64328,"VBRZEM0090",32,0,8,"Dijle- en Zennebekken",4.5054139958871,50.9876254025001,c(4.5054139958871, 50.9876254025001)
TRUE,"craywatch_data",2025,2025-07-15,0,0,0,0,0,2.33333333333333,0,0,0,0,1,0,0,0,4690,6794,2,69843,NA,33,1.94716472036297,8,"Dijle- en Zennebekken",4.47816249589103,50.9609651025048,c(4.47816249589103, 50.9609651025048)
FALSE,"craywatch_data",2025,2025-07-21,NA,NA,NA,NA,NA,1.33333333333333,NA,NA,NA,NA,1,NA,NA,NA,7209,6560,2,68660,NA,34,2.50695370627073,8,"Dijle- en Zennebekken",4.49034749588798,50.9606829025063,c(4.49034749588798, 50.9606829025063)
TRUE,"craywatch_data",2024,2024-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13717,NA,NA,901,"ANTANT0077",35,0,4,"Benedenscheldebekken",4.4086299959319,51.1866400024319,c(4.4086299959319, 51.1866400024319)
TRUE,"craywatch_data",2024,2024-10-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13717,NA,NA,81779,"ANTANT0464",36,0,4,"Benedenscheldebekken",4.41219999593031,51.1798500024342,c(4.41219999593031, 51.1798500024342)
TRUE,"craywatch_data",2024,2024-08-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9223,3104,1,15477,NA,37,0.602111109236319,4,"Benedenscheldebekken",4.37238649595276,51.301395902395,c(4.37238649595276, 51.301395902395)
TRUE,"craywatch_data",2024,2024-08-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9764,3103,1,81813,NA,38,0.62942925070556,4,"Benedenscheldebekken",4.4590501959225,51.2157209024291,c(4.4590501959225, 51.2157209024291)
FALSE,"craywatch_data",2024,2024-09-10,NA,NA,NA,NA,1.22222222222222,NA,NA,NA,NA,1,NA,NA,NA,NA,9764,NA,NA,81821,"ANTANT0477",39,0,4,"Benedenscheldebekken",4.47139829591916,51.2129726024313,c(4.47139829591916, 51.2129726024313)
TRUE,"craywatch_data",2024,2024-09-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6515,NA,NA,82073,"ANTWIJ0037",40,0,4,"Benedenscheldebekken",4.52689779590667,51.2245608024341,c(4.52689779590667, 51.2245608024341)
TRUE,"craywatch_data",2024,2024-08-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11324,NA,NA,15478,"ANTANT0369",41,0.185834254222521,4,"Benedenscheldebekken",4.37254529595276,51.3017677023949,c(4.37254529595276, 51.3017677023949)
TRUE,"craywatch_data",2024,2024-10-29,0,0,0,0,0,0,16.3333333333333,0,0,0,0,1,0,0,1330,NA,NA,4499,"ANTHEI0433",42,0,10,"Netebekken",4.74085709583951,51.0904450024969,c(4.74085709583951, 51.0904450024969)
TRUE,"craywatch_data",2025,2025-02-18,0,0,0,0,0,0,4.69565217391304,0,0,0,0,1,0,0,1330,NA,NA,4499,"ANTHEI0433",43,0,10,"Netebekken",4.74085709583951,51.0904450024969,c(4.74085709583951, 51.0904450024969)
TRUE,"craywatch_data",2025,2025-06-17,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,1,NA,NA,1330,NA,NA,4392,"ANTHEI0389",44,0,10,"Netebekken",4.74122989583945,51.0907835024968,c(4.74122989583945, 51.0907835024968)
TRUE,"craywatch_data",2025,2025-06-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18838,8501,0,4487,NA,45,3.26314116968607,10,"Netebekken",4.74491499583845,51.0899620024974,c(4.74491499583845, 51.0899620024974)
TRUE,"craywatch_data",2024,2024-08-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6684,8620,2,3771,NA,46,1.07656909156539,10,"Netebekken",4.7628235916638,51.0701906050104,c(4.7628235916638, 51.0701906050104)
TRUE,"craywatch_data",2024,2024-09-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23643,8956,2,17229,NA,47,1.21059632354915,10,"Netebekken",4.78322789164908,51.0486977050276,c(4.78322789164908, 51.0486977050276)
TRUE,"craywatch_data",2025,2025-06-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18838,8501,0,17520,NA,48,2.15027212730268,10,"Netebekken",4.74043699583987,51.0929300024961,c(4.74043699583987, 51.0929300024961)
TRUE,"craywatch_data",2025,2025-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18838,8501,0,4416,NA,49,0.220086545470538,10,"Netebekken",4.74232399583934,51.0923660024964,c(4.74232399583934, 51.0923660024964)
TRUE,"craywatch_data",2024,2024-09-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27745,8518,2,3782,NA,50,0.478369107085737,10,"Netebekken",4.80233249164236,51.0619956050242,c(4.80233249164236, 51.0619956050242)
TRUE,"craywatch_data",2024,2024-09-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9880,8507,1,17612,NA,51,1.74560652709701,10,"Netebekken",4.83248779581791,51.1021604025038,c(4.83248779581791, 51.1021604025038)
TRUE,"craywatch_data",2024,2024-08-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9880,8507,1,4272,NA,52,0.270071929610111,10,"Netebekken",4.75910219583871,51.1259324024886,c(4.75910219583871, 51.1259324024886)
TRUE,"craywatch_data",2024,2024-08-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2144,8504,1,10112,NA,53,1.72639688309288,10,"Netebekken",4.85815529582454,51.2258050024708,c(4.85815529582454, 51.2258050024708)
TRUE,"craywatch_data",2024,2024-08-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2144,8504,1,11366,NA,54,0.769289950957867,10,"Netebekken",4.88416229582236,51.2668617024619,c(4.88416229582236, 51.2668617024619)
TRUE,"craywatch_data",2024,2024-08-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23895,8572,2,9813,NA,55,0.0451531221572962,10,"Netebekken",4.83767969583407,51.2679451024564,c(4.83767969583407, 51.2679451024564)
FALSE,"craywatch_data",2024,2024-09-24,NA,NA,NA,NA,0.666666666666667,NA,NA,NA,NA,1,NA,NA,NA,NA,27741,NA,NA,11737,"ANTTUR0205",56,0,10,"Netebekken",4.94741249581111,51.3101635024565,c(4.94741249581111, 51.3101635024565)
TRUE,"craywatch_data",2024,2024-08-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1838,9502,1,10392,NA,57,2.01219308214187,11,"Maasbekken",4.74722339587507,51.4452341023953,c(4.74722339587507, 51.4452341023953)
TRUE,"craywatch_data",2024,2024-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15452,NA,NA,10656,"ANTMRK0062",58,0,11,"Maasbekken",4.83202279584516,51.3604564024291,c(4.83202279584516, 51.3604564024291)
TRUE,"craywatch_data",2024,2024-07-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23895,8572,2,9716,NA,59,1.2211445563683,10,"Netebekken",4.83767359583877,51.3128148024434,c(4.83767359583877, 51.3128148024434)
TRUE,"craywatch_data",2024,2024-08-02,NA,NA,NA,NA,0.333333333333333,NA,NA,NA,NA,1,NA,NA,NA,NA,8616,NA,NA,82166,"ANTBSE0336",60,0,10,"Netebekken",4.86743889583366,51.3348974024404,c(4.86743889583366, 51.3348974024404)
TRUE,"craywatch_data",2024,2024-08-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27741,8504,2,12012,NA,61,3.01816527375936,10,"Netebekken",4.9769204958047,51.3193559024572,c(4.9769204958047, 51.3193559024572)
TRUE,"craywatch_data",2024,2024-08-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14449,8508,2,12755,NA,62,1.35212391479127,10,"Netebekken",5.11832249577085,51.3343984024688,c(5.11832249577085, 51.3343984024688)
TRUE,"craywatch_data",2024,2024-10-01,NA,NA,NA,NA,0.333333333333333,NA,NA,NA,NA,1,NA,NA,NA,NA,3159,17,0,11152,NA,63,6.90819053816302,10,"Netebekken",4.99739499580375,51.359158002448,c(4.99739499580375, 51.359158002448)
TRUE,"craywatch_data",2024,2024-09-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4725,9670,2,14188,NA,64,0.553391078932577,11,"Maasbekken",4.89961059583231,51.3986486024257,c(4.89961059583231, 51.3986486024257)
TRUE,"craywatch_data",2024,2024-07-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1697,8726,1,14811,NA,65,0.550991796590056,10,"Netebekken",5.1125896957559,51.1790866025133,c(5.1125896957559, 51.1790866025133)
TRUE,"craywatch_data",2024,2024-10-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11318,NA,NA,12326,"ANTMOL0036",66,0,10,"Netebekken",5.18133039574405,51.2304580025062,c(5.18133039574405, 51.2304580025062)
TRUE,"craywatch_data",2024,2024-09-04,NA,NA,NA,NA,0.333333333333333,NA,NA,NA,NA,1,NA,NA,NA,NA,117,NA,NA,82396,NA,67,24.1983486837501,10,"Netebekken",5.05242229577468,51.2138313024963,c(5.05242229577468, 51.2138313024963)
TRUE,"craywatch_data",2025,2025-07-20,NA,NA,NA,NA,NA,0.333333333333333,NA,NA,NA,NA,1,NA,NA,NA,1217,8503,1,16007,NA,68,3.57708533224444,10,"Netebekken",4.95573909578549,51.0870393025222,c(4.95573909578549, 51.0870393025222)
TRUE,"craywatch_data",2025,2025-06-17,NA,NA,NA,NA,NA,0.333333333333333,NA,NA,NA,NA,1,NA,NA,NA,1217,8503,1,83576,NA,69,1.29235889159387,10,"Netebekken",5.03343689576461,51.073803902535,c(5.03343689576461, 51.073803902535)
TRUE,"craywatch_data",2025,2025-07-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18838,8501,0,5925,NA,70,1.9184653671747,10,"Netebekken",4.98478639577993,51.1032353025208,c(4.98478639577993, 51.1032353025208)
FALSE,"craywatch_data",2025,2025-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20301,8501,1,82350,NA,71,2.30500184984339,10,"Netebekken",5.09161179575665,51.1364300025233,c(5.09161179575665, 51.1364300025233)
TRUE,"craywatch_data",2025,2025-05-31,NA,NA,NA,NA,0.333333333333333,NA,NA,NA,NA,1,NA,NA,NA,NA,20301,8501,1,82350,NA,72,2.30500184984339,10,"Netebekken",5.09161179575665,51.1364300025233,c(5.09161179575665, 51.1364300025233)
TRUE,"craywatch_data",2024,2024-08-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29947,9332,2,18681,NA,73,0.846670749616211,10,"Netebekken",4.91304229581276,51.2440713024717,c(4.91304229581276, 51.2440713024717)
TRUE,"craywatch_data",2024,2024-08-14,NA,NA,NA,NA,0.5,NA,NA,NA,NA,1,NA,NA,NA,NA,29622,8502,1,5362,NA,74,0.119599127149746,10,"Netebekken",4.90305209581048,51.1987613024837,c(4.90305209581048, 51.1987613024837)
TRUE,"craywatch_data",2024,2024-08-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2144,8504,1,18683,NA,75,0.16093241191293,10,"Netebekken",4.8728887958227,51.2432886024674,c(4.8728887958227, 51.2432886024674)
TRUE,"craywatch_data",2024,2024-09-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16133,NA,NA,12324,NA,76,12.9002073558362,10,"Netebekken",5.10452849576366,51.2333020024966,c(5.10452849576366, 51.2333020024966)
FALSE,"craywatch_data",2024,2024-09-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20301,8501,1,18350,NA,77,1.10954668946105,10,"Netebekken",5.15180099574298,51.1501980025263,c(5.15180099574298, 51.1501980025263)
TRUE,"craywatch_data",2024,2024-09-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28057,8839,2,1401,NA,78,1.32648669721456,10,"Netebekken",4.51810499589944,51.1348000024589,c(4.51810499589944, 51.1348000024589)
TRUE,"craywatch_data",2024,2024-09-06,NA,NA,NA,NA,0.333333333333333,NA,NA,NA,NA,1,NA,NA,NA,NA,13215,8505,1,1722,NA,79,2.41000099797735,10,"Netebekken",4.6298544958756,51.1712784024609,c(4.6298544958756, 51.1712784024609)
TRUE,"craywatch_data",2024,2024-09-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21132,17602,1,2004,NA,80,1.26956835732,4,"Benedenscheldebekken",4.61538499588329,51.210439002448,c(4.61538499588329, 51.210439002448)
FALSE,"craywatch_data",2024,2024-09-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29845,NA,NA,1488,"ANTLNT0023",81,0,10,"Netebekken",4.492460595905,51.1273567024582,c(4.492460595905, 51.1273567024582)
TRUE,"craywatch_data",2024,2024-10-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8914,NA,NA,17768,"ANTKON0157",82,0,4,"Benedenscheldebekken",4.45005269591671,51.1391208024502,c(4.45005269591671, 51.1391208024502)
TRUE,"craywatch_data",2024,2024-09-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5571,NA,NA,971,"ANTANT0140",83,0,4,"Benedenscheldebekken",4.42938769592718,51.190535202433,c(4.42938769592718, 51.190535202433)
TRUE,"craywatch_data",2024,2024-09-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24287,NA,NA,81791,"ANTANT0474",84,0,4,"Benedenscheldebekken",4.40212729593107,51.1634236024378,c(4.40212729593107, 51.1634236024378)
TRUE,"craywatch_data",2024,2024-08-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19849,NA,NA,81778,"ANTANT0463",85,0,4,"Benedenscheldebekken",4.37412239593799,51.1636463024347,c(4.37412239593799, 51.1636463024347)
TRUE,"craywatch_data",2024,2024-08-16,0,0,0,0,0,0,0,2.5,0,0,0,0,1,0,13333,NA,NA,81782,"ANTANT0466",86,0,4,"Benedenscheldebekken",4.36668729594,51.1653519024333,c(4.36668729594, 51.1653519024333)
TRUE,"craywatch_data",2024,2024-10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12256,3108,1,1005,NA,87,0.563786580942031,4,"Benedenscheldebekken",4.34942719594082,51.1325115024409,c(4.34942719594082, 51.1325115024409)
TRUE,"craywatch_data",2024,2024-08-29,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1428,NA,NA,1531,"ANTMOR0002",88,0,4,"Benedenscheldebekken",4.46094969591744,51.1718562024419,c(4.46094969591744, 51.1718562024419)
TRUE,"craywatch_data",2025,2025-06-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4274,6553,1,2766,NA,89,0.31248524992855,8,"Dijle- en Zennebekken",4.45196539590672,51.0484016024765,c(4.45196539590672, 51.0484016024765)
TRUE,"craywatch_data",2025,2025-07-21,NA,NA,NA,NA,0.333333333333333,NA,NA,NA,NA,1,NA,NA,NA,NA,29948,NA,NA,2679,"ANTMEC0180",90,0,10,"Netebekken",4.45111759590885,51.0666831024711,c(4.45111759590885, 51.0666831024711)
FALSE,"craywatch_data",2025,2025-07-27,0,0,0,0,0,1.16666666666667,0,0,0,0,1,0,0,0,5887,6560,1,2494,NA,91,0.888362052708843,8,"Dijle- en Zennebekken",4.51876249588557,51.0044234024968,c(4.51876249588557, 51.0044234024968)
TRUE,"craywatch_data",2025,2025-07-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4274,6553,1,2882,NA,92,0.292465122772968,8,"Dijle- en Zennebekken",4.5209211958871,51.0240800024913,c(4.5209211958871, 51.0240800024913)
TRUE,"craywatch_data",2025,2025-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29860,3369,2,486,NA,93,1.06254187992036e-05,4,"Benedenscheldebekken",4.39225459592243,51.0576496024672,c(4.39225459592243, 51.0576496024672)
TRUE,"craywatch_data",2025,2025-08-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12400,NA,NA,590,"ANTWIL0121",94,0,4,"Benedenscheldebekken",4.38440789592451,51.0590381024659,c(4.38440789592451, 51.0590381024659)
TRUE,"craywatch_data",2025,2025-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29860,NA,NA,16837,"ANTWIL0176",95,0,4,"Benedenscheldebekken",4.39330079592183,51.0544065024683,c(4.39330079592183, 51.0544065024683)
TRUE,"craywatch_data",2024,2024-09-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19980,NA,NA,16751,"ANTRUM0147",96,0,10,"Netebekken",4.4314064959149,51.0779516024657,c(4.4314064959149, 51.0779516024657)
TRUE,"craywatch_data",2025,2025-06-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28089,9112,2,2637,NA,97,1.25589764310714,10,"Netebekken",4.48349009590174,51.0751530024723,c(4.48349009590174, 51.0751530024723)
TRUE,"craywatch_data",2025,2025-06-12,NA,NA,NA,NA,NA,1.44444444444444,NA,NA,NA,NA,1,NA,NA,NA,29932,NA,NA,81866,"ANTSKW0423",98,0,8,"Dijle- en Zennebekken",4.51098719589333,51.0598583024798,c(4.51098719589333, 51.0598583024798)
TRUE,"craywatch_data",2024,2024-07-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15716,6,1,17341,NA,99,4.15483941870953,4,"Benedenscheldebekken",4.31745249188954,51.0950370048962,c(4.31745249188954, 51.0950370048962)
TRUE,"craywatch_data",2024,2024-07-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9521,3106,1,318,NA,100,0.409273622500405,4,"Benedenscheldebekken",4.33886299187474,51.0746396049127,c(4.33886299187474, 51.0746396049127)
TRUE,"craywatch_data",2024,2024-10-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,617,2,272,NA,101,2.73508396671605,4,"Benedenscheldebekken",4.2672168919112,51.0804692048934,c(4.2672168919112, 51.0804692048934)
TRUE,"craywatch_data",2024,2024-10-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15716,6,1,312,NA,102,3.31896705419102,4,"Benedenscheldebekken",4.26992309190821,51.0725540048986,c(4.26992309190821, 51.0725540048986)
TRUE,"craywatch_data",2024,2024-08-03,NA,NA,NA,NA,0.333333333333333,NA,NA,NA,NA,1,NA,NA,NA,NA,19963,NA,NA,16497,"ANTBRM0334",103,0,4,"Benedenscheldebekken",4.23915139596362,51.0913189024405,c(4.23915139596362, 51.0913189024405)
TRUE,"craywatch_data",2024,2024-09-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2259,3761,2,782,NA,104,0.167872933455936,4,"Benedenscheldebekken",4.29853969595183,51.1180833024394,c(4.29853969595183, 51.1180833024394)
TRUE,"craywatch_data",2024,2024-09-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15716,6,1,16953,NA,105,4.39641780619124,4,"Benedenscheldebekken",4.31271549189136,51.0925450048966,c(4.31271549189136, 51.0925450048966)
TRUE,"craywatch_data",2024,2024-09-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15716,6,1,351,NA,106,4.28090542545619,4,"Benedenscheldebekken",4.28902119595057,51.0836332024482,c(4.28902119595057, 51.0836332024482)
