"consecutive","dat.source","year","date","CPUE_pontastacus leptodactylus","CPUE_pacifastacus leniusculus","pontastacus leptodactylus","pacifastacus leniusculus","CPUE_faxonius limosus","CPUE_procambarus clarkii","CPUE_procambarus acutus","CPUE_procambarus virginalis","CPUE_faxonius virilis","faxonius limosus","procambarus clarkii","procambarus acutus","procambarus virginalis","faxonius virilis","nearest_river_index","VHAG","CATC","nearest_waterbody_index","WVLC","ID","distances","BEKNR","BEKNAAM","longitude","latitude","geometry"
TRUE,"craywatch_data",2024,2024-08-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29626,6552,1,85579,NA,1,0.658849729563628,8,"Dijle- en Zennebekken",4.2502099918488,50.7447390050844,c(4.2502099918488, 50.7447390050844)
TRUE,"craywatch_data",2024,2024-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29626,6552,1,62599,NA,2,0.94973446230015,8,"Dijle- en Zennebekken",4.22571339185392,50.7120313050982,c(4.22571339185392, 50.7120313050982)
TRUE,"craywatch_data",2024,2024-09-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3431,NA,NA,69139,"VBRHLE0088",3,3.40363661246353,8,"Dijle- en Zennebekken",4.2334009918503,50.7128000050994,c(4.2334009918503, 50.7128000050994)
TRUE,"craywatch_data",2025,2025-08-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14830,6571,2,62382,NA,4,0.659568911601806,8,"Dijle- en Zennebekken",4.10308109596072,50.7461156025253,c(4.10308109596072, 50.7461156025253)
TRUE,"craywatch_data",2025,2025-08-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12476,6354,2,68914,NA,5,0.127839242875411,7,"Denderbekken",4.05765829597248,50.7520451025185,c(4.05765829597248, 50.7520451025185)
TRUE,"craywatch_data",2025,2025-08-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23783,5952,1,88229,NA,6,0.0928622197084697,7,"Denderbekken",4.01443579597749,50.6993496025291,c(4.01443579597749, 50.6993496025291)
TRUE,"craywatch_data",2025,2025-09-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28033,6347,2,61955,NA,7,0.610246956124222,7,"Denderbekken",3.94655869599494,50.7073750025191,c(3.94655869599494, 50.7073750025191)
TRUE,"craywatch_data",2024,2024-09-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20209,6317,2,61905,NA,8,2.07436938453635,7,"Denderbekken",4.02434399597929,50.7393140025185,c(4.02434399597929, 50.7393140025185)
TRUE,"craywatch_data",2025,2025-07-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28109,6554,1,69062,NA,9,0.334884284850351,8,"Dijle- en Zennebekken",4.21212999593733,50.7781800025282,c(4.21212999593733, 50.7781800025282)
TRUE,"craywatch_data",2024,2024-08-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28109,6554,1,83306,NA,10,0.130115328621929,8,"Dijle- en Zennebekken",4.28274929592208,50.7984079025302,c(4.28274929592208, 50.7984079025302)
FALSE,"craywatch_data",2024,2024-10-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28109,NA,NA,69079,"VBRSPL0096",11,0,8,"Dijle- en Zennebekken",4.26991779592473,50.7935364025302,c(4.26991779592473, 50.7935364025302)
TRUE,"craywatch_data",2024,2024-10-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28109,6554,1,62646,NA,12,0.168207500591027,8,"Dijle- en Zennebekken",4.2424569959304,50.7832870025301,c(4.2424569959304, 50.7832870025301)
TRUE,"craywatch_data",2024,2024-07-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9559,NA,NA,62707,"VBRSGR0021",13,0,8,"Dijle- en Zennebekken",4.32813989180555,50.7220474051154,c(4.32813989180555, 50.7220474051154)
TRUE,"craywatch_data",2024,2024-07-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3496,7040,2,85597,NA,14,6.08305778026729,8,"Dijle- en Zennebekken",4.2879532918264,50.7268228051034,c(4.2879532918264, 50.7268228051034)
TRUE,"craywatch_data",2024,2024-09-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8433,6903,2,62785,NA,15,0.0177477682681144,8,"Dijle- en Zennebekken",4.2657594918436,50.7562888050812,c(4.2657594918436, 50.7562888050812)
TRUE,"craywatch_data",2024,2024-06-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27845,6,2,69664,NA,16,1.36342987125154,4,"Benedenscheldebekken",4.25104679594132,50.9065872024952,c(4.25104679594132, 50.9065872024952)
TRUE,"craywatch_data",2024,2024-10-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29717,6140,1,86171,NA,17,4.97343983822113,7,"Denderbekken",4.15466789596233,50.8812453024918,c(4.15466789596233, 50.8812453024918)
TRUE,"craywatch_data",2024,2024-09-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12731,615,2,69409,NA,18,0.0795507305335076,4,"Benedenscheldebekken",4.21246599595652,50.9609960024751,c(4.21246599595652, 50.9609960024751)
TRUE,"craywatch_data",2025,2025-08-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11193,NA,NA,62480,"VBRLEN0040",19,0,8,"Dijle- en Zennebekken",4.19682999594292,50.7955100025214,c(4.19682999594292, 50.7955100025214)
TRUE,"craywatch_data",2024,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5302,6044,2,68529,NA,20,0.618641555454123,7,"Denderbekken",4.07053179597443,50.8004074025059,c(4.07053179597443, 50.8004074025059)
TRUE,"craywatch_data",2024,2024-10-01,0,0,0,0,0.833333333333333,0,0,0,0,1,0,0,0,0,9933,5956,1,69034,NA,21,0.877090486183697,7,"Denderbekken",4.096568195977,50.8854042024841,c(4.096568195977, 50.8854042024841)
TRUE,"craywatch_data",2024,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9933,5956,1,86013,NA,22,1.99583261672438,7,"Denderbekken",4.11565379597261,50.8880448024855,c(4.11565379597261, 50.8880448024855)
TRUE,"craywatch_data",2025,2025-08-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25450,6873,2,69835,NA,23,0.96570524623168,8,"Dijle- en Zennebekken",4.46106339589443,50.9531360025052,c(4.46106339589443, 50.9531360025052)
TRUE,"craywatch_data",2024,2024-09-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15716,6,1,63957,NA,24,2.86627057585952,4,"Benedenscheldebekken",4.26400389594595,50.9808973024751,c(4.26400389594595, 50.9808973024751)
TRUE,"craywatch_data",2025,2025-08-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3546,6996,2,90149,NA,25,0.119395952673485,8,"Dijle- en Zennebekken",4.44206119589917,50.9535553025029,c(4.44206119589917, 50.9535553025029)
TRUE,"craywatch_data",2025,2025-08-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20501,6552,0,69848,NA,26,0.0865487204299095,8,"Dijle- en Zennebekken",4.47071729589335,50.9655389025027,c(4.47071729589335, 50.9655389025027)
